Versão:	V00004	Classificação nacional de profissões, versão 1994	
5	="2.4.4.4.05"	="Filólogo"	
5	="2.4.4.4.10"	="Tradutor"	
5	="2.4.4.4.15"	="Intérprete"	
5	="2.4.4.4.20"	="Intérprete de língua gestual"	
5	="2.4.4.4.90"	="Outros filólogos, tradutores e intérpretes"	
4	="2.4.4.5"	="Psicólogos"	
5	="2.4.4.5.05"	="Psicólogo"	
5	="2.4.4.5.90"	="Outros psicólogos"	
4	="2.4.4.6"	="Especialistas do trabalho social"	
5	="2.4.4.6.05"	="Assistente social"	
5	="2.4.4.6.90"	="Outros especialistas do trabalho social"	
3	="2.4.5"	="Escritores, artistas e executantes"	
4	="2.4.5.1"	="Escritores, jornalistas e similares"	
5	="2.4.5.1.05"	="Escritor"	
5	="2.4.5.1.10"	="Crítico"	
5	="2.4.5.1.15"	="Chefe de redacção"	
5	="2.4.5.1.20"	="Jornalista"	
5	="2.4.5.1.25"	="Correspondente"	
5	="2.4.5.1.30"	="Redactor publicitário"	
5	="2.4.5.1.35"	="Redactor técnico"	
5	="2.4.5.1.40"	="Editor"	
5	="2.4.5.1.90"	="Outros escritores, jornalistas e similares"	
4	="2.4.5.2"	="Escultores, pintores e outros artistas similares"	
5	="2.4.5.2.05"	="Escultor"	
5	="2.4.5.2.10"	="Pintor de arte"	
5	="2.4.5.2.15"	="Desenhador humorístico (caricaturista)"	
5	="2.4.5.2.20"	="Animador - cinema de animação"	
5	="2.4.5.2.25"	="Visualizador - publicidade"	
5	="2.4.5.2.30"	="Desenhador ilustrador"	
5	="2.4.5.2.35"	="Restaurador (técnico de restauro e conservação)"	
5	="2.4.5.2.40"	="Desenhador criador industrial"	
